Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output
"156230","CVE-2021-30767","9.3","High","192.168.1.126","tcp","0","macOS 12.x < 12.1 (HT212978)","The remote host is missing a macOS security update.","The remote host is running a version of macOS / Mac OS X that is 12.x prior to 12.1 Monterey. It is, therefore,
affected by multiple vulnerabilities including the following:

  - A buffer overflow issue was addressed with improved memory handling. Processing a maliciously crafted USD 
    file may lead to unexpected application termination or arbitrary code execution. (CVE-2021-30979)

  - An out-of-bounds read was addressed with improved input validation. Playing a malicious audio file may 
    lead to arbitrary code execution. (CVE-2021-30958)

  - An out-of-bounds write issue was addressed with improved bounds checking. Processing a maliciously 
    crafted USD file may disclose memory contents. (CVE-2021-30929)

Note that Nessus has not tested for this issue but has instead relied only on the operating system's self-reported
version number.","Upgrade to macOS 12.1 or later.","https://support.apple.com/en-gb/HT212978","
  Installed version : 12.0.1
  Fixed version     : macOS Monterey 12.1
"
"156230","CVE-2021-30926","9.3","High","192.168.1.126","tcp","0","macOS 12.x < 12.1 (HT212978)","The remote host is missing a macOS security update.","The remote host is running a version of macOS / Mac OS X that is 12.x prior to 12.1 Monterey. It is, therefore,
affected by multiple vulnerabilities including the following:

  - A buffer overflow issue was addressed with improved memory handling. Processing a maliciously crafted USD 
    file may lead to unexpected application termination or arbitrary code execution. (CVE-2021-30979)

  - An out-of-bounds read was addressed with improved input validation. Playing a malicious audio file may 
    lead to arbitrary code execution. (CVE-2021-30958)

  - An out-of-bounds write issue was addressed with improved bounds checking. Processing a maliciously 
    crafted USD file may disclose memory contents. (CVE-2021-30929)

Note that Nessus has not tested for this issue but has instead relied only on the operating system's self-reported
version number.","Upgrade to macOS 12.1 or later.","https://support.apple.com/en-gb/HT212978","
  Installed version : 12.0.1
  Fixed version     : macOS Monterey 12.1
"
"156230","CVE-2021-30927","9.3","High","192.168.1.126","tcp","0","macOS 12.x < 12.1 (HT212978)","The remote host is missing a macOS security update.","The remote host is running a version of macOS / Mac OS X that is 12.x prior to 12.1 Monterey. It is, therefore,
affected by multiple vulnerabilities including the following:

  - A buffer overflow issue was addressed with improved memory handling. Processing a maliciously crafted USD 
    file may lead to unexpected application termination or arbitrary code execution. (CVE-2021-30979)

  - An out-of-bounds read was addressed with improved input validation. Playing a malicious audio file may 
    lead to arbitrary code execution. (CVE-2021-30958)

  - An out-of-bounds write issue was addressed with improved bounds checking. Processing a maliciously 
    crafted USD file may disclose memory contents. (CVE-2021-30929)

Note that Nessus has not tested for this issue but has instead relied only on the operating system's self-reported
version number.","Upgrade to macOS 12.1 or later.","https://support.apple.com/en-gb/HT212978","
  Installed version : 12.0.1
  Fixed version     : macOS Monterey 12.1
"
"156230","CVE-2021-30929","9.3","High","192.168.1.126","tcp","0","macOS 12.x < 12.1 (HT212978)","The remote host is missing a macOS security update.","The remote host is running a version of macOS / Mac OS X that is 12.x prior to 12.1 Monterey. It is, therefore,
affected by multiple vulnerabilities including the following:

  - A buffer overflow issue was addressed with improved memory handling. Processing a maliciously crafted USD 
    file may lead to unexpected application termination or arbitrary code execution. (CVE-2021-30979)

  - An out-of-bounds read was addressed with improved input validation. Playing a malicious audio file may 
    lead to arbitrary code execution. (CVE-2021-30958)

  - An out-of-bounds write issue was addressed with improved bounds checking. Processing a maliciously 
    crafted USD file may disclose memory contents. (CVE-2021-30929)

Note that Nessus has not tested for this issue but has instead relied only on the operating system's self-reported
version number.","Upgrade to macOS 12.1 or later.","https://support.apple.com/en-gb/HT212978","
  Installed version : 12.0.1
  Fixed version     : macOS Monterey 12.1
"
"156230","CVE-2021-30934","9.3","High","192.168.1.126","tcp","0","macOS 12.x < 12.1 (HT212978)","The remote host is missing a macOS security update.","The remote host is running a version of macOS / Mac OS X that is 12.x prior to 12.1 Monterey. It is, therefore,
affected by multiple vulnerabilities including the following:

  - A buffer overflow issue was addressed with improved memory handling. Processing a maliciously crafted USD 
    file may lead to unexpected application termination or arbitrary code execution. (CVE-2021-30979)

  - An out-of-bounds read was addressed with improved input validation. Playing a malicious audio file may 
    lead to arbitrary code execution. (CVE-2021-30958)

  - An out-of-bounds write issue was addressed with improved bounds checking. Processing a maliciously 
    crafted USD file may disclose memory contents. (CVE-2021-30929)

Note that Nessus has not tested for this issue but has instead relied only on the operating system's self-reported
version number.","Upgrade to macOS 12.1 or later.","https://support.apple.com/en-gb/HT212978","
  Installed version : 12.0.1
  Fixed version     : macOS Monterey 12.1
"
"156230","CVE-2021-30936","9.3","High","192.168.1.126","tcp","0","macOS 12.x < 12.1 (HT212978)","The remote host is missing a macOS security update.","The remote host is running a version of macOS / Mac OS X that is 12.x prior to 12.1 Monterey. It is, therefore,
affected by multiple vulnerabilities including the following:

  - A buffer overflow issue was addressed with improved memory handling. Processing a maliciously crafted USD 
    file may lead to unexpected application termination or arbitrary code execution. (CVE-2021-30979)

  - An out-of-bounds read was addressed with improved input validation. Playing a malicious audio file may 
    lead to arbitrary code execution. (CVE-2021-30958)

  - An out-of-bounds write issue was addressed with improved bounds checking. Processing a maliciously 
    crafted USD file may disclose memory contents. (CVE-2021-30929)

Note that Nessus has not tested for this issue but has instead relied only on the operating system's self-reported
version number.","Upgrade to macOS 12.1 or later.","https://support.apple.com/en-gb/HT212978","
  Installed version : 12.0.1
  Fixed version     : macOS Monterey 12.1
"
"156230","CVE-2021-30937","9.3","High","192.168.1.126","tcp","0","macOS 12.x < 12.1 (HT212978)","The remote host is missing a macOS security update.","The remote host is running a version of macOS / Mac OS X that is 12.x prior to 12.1 Monterey. It is, therefore,
affected by multiple vulnerabilities including the following:

  - A buffer overflow issue was addressed with improved memory handling. Processing a maliciously crafted USD 
    file may lead to unexpected application termination or arbitrary code execution. (CVE-2021-30979)

  - An out-of-bounds read was addressed with improved input validation. Playing a malicious audio file may 
    lead to arbitrary code execution. (CVE-2021-30958)

  - An out-of-bounds write issue was addressed with improved bounds checking. Processing a maliciously 
    crafted USD file may disclose memory contents. (CVE-2021-30929)

Note that Nessus has not tested for this issue but has instead relied only on the operating system's self-reported
version number.","Upgrade to macOS 12.1 or later.","https://support.apple.com/en-gb/HT212978","
  Installed version : 12.0.1
  Fixed version     : macOS Monterey 12.1
"
"156230","CVE-2021-30938","9.3","High","192.168.1.126","tcp","0","macOS 12.x < 12.1 (HT212978)","The remote host is missing a macOS security update.","The remote host is running a version of macOS / Mac OS X that is 12.x prior to 12.1 Monterey. It is, therefore,
affected by multiple vulnerabilities including the following:

  - A buffer overflow issue was addressed with improved memory handling. Processing a maliciously crafted USD 
    file may lead to unexpected application termination or arbitrary code execution. (CVE-2021-30979)

  - An out-of-bounds read was addressed with improved input validation. Playing a malicious audio file may 
    lead to arbitrary code execution. (CVE-2021-30958)

  - An out-of-bounds write issue was addressed with improved bounds checking. Processing a maliciously 
    crafted USD file may disclose memory contents. (CVE-2021-30929)

Note that Nessus has not tested for this issue but has instead relied only on the operating system's self-reported
version number.","Upgrade to macOS 12.1 or later.","https://support.apple.com/en-gb/HT212978","
  Installed version : 12.0.1
  Fixed version     : macOS Monterey 12.1
"
"156230","CVE-2021-30939","9.3","High","192.168.1.126","tcp","0","macOS 12.x < 12.1 (HT212978)","The remote host is missing a macOS security update.","The remote host is running a version of macOS / Mac OS X that is 12.x prior to 12.1 Monterey. It is, therefore,
affected by multiple vulnerabilities including the following:

  - A buffer overflow issue was addressed with improved memory handling. Processing a maliciously crafted USD 
    file may lead to unexpected application termination or arbitrary code execution. (CVE-2021-30979)

  - An out-of-bounds read was addressed with improved input validation. Playing a malicious audio file may 
    lead to arbitrary code execution. (CVE-2021-30958)

  - An out-of-bounds write issue was addressed with improved bounds checking. Processing a maliciously 
    crafted USD file may disclose memory contents. (CVE-2021-30929)

Note that Nessus has not tested for this issue but has instead relied only on the operating system's self-reported
version number.","Upgrade to macOS 12.1 or later.","https://support.apple.com/en-gb/HT212978","
  Installed version : 12.0.1
  Fixed version     : macOS Monterey 12.1
"
"156230","CVE-2021-30940","9.3","High","192.168.1.126","tcp","0","macOS 12.x < 12.1 (HT212978)","The remote host is missing a macOS security update.","The remote host is running a version of macOS / Mac OS X that is 12.x prior to 12.1 Monterey. It is, therefore,
affected by multiple vulnerabilities including the following:

  - A buffer overflow issue was addressed with improved memory handling. Processing a maliciously crafted USD 
    file may lead to unexpected application termination or arbitrary code execution. (CVE-2021-30979)

  - An out-of-bounds read was addressed with improved input validation. Playing a malicious audio file may 
    lead to arbitrary code execution. (CVE-2021-30958)

  - An out-of-bounds write issue was addressed with improved bounds checking. Processing a maliciously 
    crafted USD file may disclose memory contents. (CVE-2021-30929)

Note that Nessus has not tested for this issue but has instead relied only on the operating system's self-reported
version number.","Upgrade to macOS 12.1 or later.","https://support.apple.com/en-gb/HT212978","
  Installed version : 12.0.1
  Fixed version     : macOS Monterey 12.1
"
"156230","CVE-2021-30941","9.3","High","192.168.1.126","tcp","0","macOS 12.x < 12.1 (HT212978)","The remote host is missing a macOS security update.","The remote host is running a version of macOS / Mac OS X that is 12.x prior to 12.1 Monterey. It is, therefore,
affected by multiple vulnerabilities including the following:

  - A buffer overflow issue was addressed with improved memory handling. Processing a maliciously crafted USD 
    file may lead to unexpected application termination or arbitrary code execution. (CVE-2021-30979)

  - An out-of-bounds read was addressed with improved input validation. Playing a malicious audio file may 
    lead to arbitrary code execution. (CVE-2021-30958)

  - An out-of-bounds write issue was addressed with improved bounds checking. Processing a maliciously 
    crafted USD file may disclose memory contents. (CVE-2021-30929)

Note that Nessus has not tested for this issue but has instead relied only on the operating system's self-reported
version number.","Upgrade to macOS 12.1 or later.","https://support.apple.com/en-gb/HT212978","
  Installed version : 12.0.1
  Fixed version     : macOS Monterey 12.1
"
"156230","CVE-2021-30942","9.3","High","192.168.1.126","tcp","0","macOS 12.x < 12.1 (HT212978)","The remote host is missing a macOS security update.","The remote host is running a version of macOS / Mac OS X that is 12.x prior to 12.1 Monterey. It is, therefore,
affected by multiple vulnerabilities including the following:

  - A buffer overflow issue was addressed with improved memory handling. Processing a maliciously crafted USD 
    file may lead to unexpected application termination or arbitrary code execution. (CVE-2021-30979)

  - An out-of-bounds read was addressed with improved input validation. Playing a malicious audio file may 
    lead to arbitrary code execution. (CVE-2021-30958)

  - An out-of-bounds write issue was addressed with improved bounds checking. Processing a maliciously 
    crafted USD file may disclose memory contents. (CVE-2021-30929)

Note that Nessus has not tested for this issue but has instead relied only on the operating system's self-reported
version number.","Upgrade to macOS 12.1 or later.","https://support.apple.com/en-gb/HT212978","
  Installed version : 12.0.1
  Fixed version     : macOS Monterey 12.1
"
"156230","CVE-2021-30945","9.3","High","192.168.1.126","tcp","0","macOS 12.x < 12.1 (HT212978)","The remote host is missing a macOS security update.","The remote host is running a version of macOS / Mac OS X that is 12.x prior to 12.1 Monterey. It is, therefore,
affected by multiple vulnerabilities including the following:

  - A buffer overflow issue was addressed with improved memory handling. Processing a maliciously crafted USD 
    file may lead to unexpected application termination or arbitrary code execution. (CVE-2021-30979)

  - An out-of-bounds read was addressed with improved input validation. Playing a malicious audio file may 
    lead to arbitrary code execution. (CVE-2021-30958)

  - An out-of-bounds write issue was addressed with improved bounds checking. Processing a maliciously 
    crafted USD file may disclose memory contents. (CVE-2021-30929)

Note that Nessus has not tested for this issue but has instead relied only on the operating system's self-reported
version number.","Upgrade to macOS 12.1 or later.","https://support.apple.com/en-gb/HT212978","
  Installed version : 12.0.1
  Fixed version     : macOS Monterey 12.1
"
"156230","CVE-2021-30946","9.3","High","192.168.1.126","tcp","0","macOS 12.x < 12.1 (HT212978)","The remote host is missing a macOS security update.","The remote host is running a version of macOS / Mac OS X that is 12.x prior to 12.1 Monterey. It is, therefore,
affected by multiple vulnerabilities including the following:

  - A buffer overflow issue was addressed with improved memory handling. Processing a maliciously crafted USD 
    file may lead to unexpected application termination or arbitrary code execution. (CVE-2021-30979)

  - An out-of-bounds read was addressed with improved input validation. Playing a malicious audio file may 
    lead to arbitrary code execution. (CVE-2021-30958)

  - An out-of-bounds write issue was addressed with improved bounds checking. Processing a maliciously 
    crafted USD file may disclose memory contents. (CVE-2021-30929)

Note that Nessus has not tested for this issue but has instead relied only on the operating system's self-reported
version number.","Upgrade to macOS 12.1 or later.","https://support.apple.com/en-gb/HT212978","
  Installed version : 12.0.1
  Fixed version     : macOS Monterey 12.1
"
"156230","CVE-2021-30947","9.3","High","192.168.1.126","tcp","0","macOS 12.x < 12.1 (HT212978)","The remote host is missing a macOS security update.","The remote host is running a version of macOS / Mac OS X that is 12.x prior to 12.1 Monterey. It is, therefore,
affected by multiple vulnerabilities including the following:

  - A buffer overflow issue was addressed with improved memory handling. Processing a maliciously crafted USD 
    file may lead to unexpected application termination or arbitrary code execution. (CVE-2021-30979)

  - An out-of-bounds read was addressed with improved input validation. Playing a malicious audio file may 
    lead to arbitrary code execution. (CVE-2021-30958)

  - An out-of-bounds write issue was addressed with improved bounds checking. Processing a maliciously 
    crafted USD file may disclose memory contents. (CVE-2021-30929)

Note that Nessus has not tested for this issue but has instead relied only on the operating system's self-reported
version number.","Upgrade to macOS 12.1 or later.","https://support.apple.com/en-gb/HT212978","
  Installed version : 12.0.1
  Fixed version     : macOS Monterey 12.1
"
"156230","CVE-2021-30949","9.3","High","192.168.1.126","tcp","0","macOS 12.x < 12.1 (HT212978)","The remote host is missing a macOS security update.","The remote host is running a version of macOS / Mac OS X that is 12.x prior to 12.1 Monterey. It is, therefore,
affected by multiple vulnerabilities including the following:

  - A buffer overflow issue was addressed with improved memory handling. Processing a maliciously crafted USD 
    file may lead to unexpected application termination or arbitrary code execution. (CVE-2021-30979)

  - An out-of-bounds read was addressed with improved input validation. Playing a malicious audio file may 
    lead to arbitrary code execution. (CVE-2021-30958)

  - An out-of-bounds write issue was addressed with improved bounds checking. Processing a maliciously 
    crafted USD file may disclose memory contents. (CVE-2021-30929)

Note that Nessus has not tested for this issue but has instead relied only on the operating system's self-reported
version number.","Upgrade to macOS 12.1 or later.","https://support.apple.com/en-gb/HT212978","
  Installed version : 12.0.1
  Fixed version     : macOS Monterey 12.1
"
"156230","CVE-2021-30950","9.3","High","192.168.1.126","tcp","0","macOS 12.x < 12.1 (HT212978)","The remote host is missing a macOS security update.","The remote host is running a version of macOS / Mac OS X that is 12.x prior to 12.1 Monterey. It is, therefore,
affected by multiple vulnerabilities including the following:

  - A buffer overflow issue was addressed with improved memory handling. Processing a maliciously crafted USD 
    file may lead to unexpected application termination or arbitrary code execution. (CVE-2021-30979)

  - An out-of-bounds read was addressed with improved input validation. Playing a malicious audio file may 
    lead to arbitrary code execution. (CVE-2021-30958)

  - An out-of-bounds write issue was addressed with improved bounds checking. Processing a maliciously 
    crafted USD file may disclose memory contents. (CVE-2021-30929)

Note that Nessus has not tested for this issue but has instead relied only on the operating system's self-reported
version number.","Upgrade to macOS 12.1 or later.","https://support.apple.com/en-gb/HT212978","
  Installed version : 12.0.1
  Fixed version     : macOS Monterey 12.1
"
"156230","CVE-2021-30951","9.3","High","192.168.1.126","tcp","0","macOS 12.x < 12.1 (HT212978)","The remote host is missing a macOS security update.","The remote host is running a version of macOS / Mac OS X that is 12.x prior to 12.1 Monterey. It is, therefore,
affected by multiple vulnerabilities including the following:

  - A buffer overflow issue was addressed with improved memory handling. Processing a maliciously crafted USD 
    file may lead to unexpected application termination or arbitrary code execution. (CVE-2021-30979)

  - An out-of-bounds read was addressed with improved input validation. Playing a malicious audio file may 
    lead to arbitrary code execution. (CVE-2021-30958)

  - An out-of-bounds write issue was addressed with improved bounds checking. Processing a maliciously 
    crafted USD file may disclose memory contents. (CVE-2021-30929)

Note that Nessus has not tested for this issue but has instead relied only on the operating system's self-reported
version number.","Upgrade to macOS 12.1 or later.","https://support.apple.com/en-gb/HT212978","
  Installed version : 12.0.1
  Fixed version     : macOS Monterey 12.1
"
"156230","CVE-2021-30952","9.3","High","192.168.1.126","tcp","0","macOS 12.x < 12.1 (HT212978)","The remote host is missing a macOS security update.","The remote host is running a version of macOS / Mac OS X that is 12.x prior to 12.1 Monterey. It is, therefore,
affected by multiple vulnerabilities including the following:

  - A buffer overflow issue was addressed with improved memory handling. Processing a maliciously crafted USD 
    file may lead to unexpected application termination or arbitrary code execution. (CVE-2021-30979)

  - An out-of-bounds read was addressed with improved input validation. Playing a malicious audio file may 
    lead to arbitrary code execution. (CVE-2021-30958)

  - An out-of-bounds write issue was addressed with improved bounds checking. Processing a maliciously 
    crafted USD file may disclose memory contents. (CVE-2021-30929)

Note that Nessus has not tested for this issue but has instead relied only on the operating system's self-reported
version number.","Upgrade to macOS 12.1 or later.","https://support.apple.com/en-gb/HT212978","
  Installed version : 12.0.1
  Fixed version     : macOS Monterey 12.1
"
"156230","CVE-2021-30953","9.3","High","192.168.1.126","tcp","0","macOS 12.x < 12.1 (HT212978)","The remote host is missing a macOS security update.","The remote host is running a version of macOS / Mac OS X that is 12.x prior to 12.1 Monterey. It is, therefore,
affected by multiple vulnerabilities including the following:

  - A buffer overflow issue was addressed with improved memory handling. Processing a maliciously crafted USD 
    file may lead to unexpected application termination or arbitrary code execution. (CVE-2021-30979)

  - An out-of-bounds read was addressed with improved input validation. Playing a malicious audio file may 
    lead to arbitrary code execution. (CVE-2021-30958)

  - An out-of-bounds write issue was addressed with improved bounds checking. Processing a maliciously 
    crafted USD file may disclose memory contents. (CVE-2021-30929)

Note that Nessus has not tested for this issue but has instead relied only on the operating system's self-reported
version number.","Upgrade to macOS 12.1 or later.","https://support.apple.com/en-gb/HT212978","
  Installed version : 12.0.1
  Fixed version     : macOS Monterey 12.1
"
"156230","CVE-2021-30954","9.3","High","192.168.1.126","tcp","0","macOS 12.x < 12.1 (HT212978)","The remote host is missing a macOS security update.","The remote host is running a version of macOS / Mac OS X that is 12.x prior to 12.1 Monterey. It is, therefore,
affected by multiple vulnerabilities including the following:

  - A buffer overflow issue was addressed with improved memory handling. Processing a maliciously crafted USD 
    file may lead to unexpected application termination or arbitrary code execution. (CVE-2021-30979)

  - An out-of-bounds read was addressed with improved input validation. Playing a malicious audio file may 
    lead to arbitrary code execution. (CVE-2021-30958)

  - An out-of-bounds write issue was addressed with improved bounds checking. Processing a maliciously 
    crafted USD file may disclose memory contents. (CVE-2021-30929)

Note that Nessus has not tested for this issue but has instead relied only on the operating system's self-reported
version number.","Upgrade to macOS 12.1 or later.","https://support.apple.com/en-gb/HT212978","
  Installed version : 12.0.1
  Fixed version     : macOS Monterey 12.1
"
